brand_name,p_id,Product_name,price,color,ratingCount,avg_rating,brand_id
DUPATTA BAZAAR,1518329,Dupatta Bazaar White Embroidered Chiffon Dupatta,899,White,1321,4.548826646,242
ROADSTER,5829334,Roadster Women Mustard Yellow Solid Hooded Sweatshirt,1199,Mustard,5462,4.313255218,750
INDDUS,10340119,Inddus Peach-Coloured & Beige Unstitched Dress Material,5799,Peach,145,4.068965517,389
SASSAFRAS,10856380,SASSAFRAS Women Black Parallel Trousers,1499,Black,9124,4.147523016,783
KOTTY,12384822,Kotty Women Black Wide Leg High-Rise Clean Look Jeans,1999,Black,12260,4.078466558,482
KASSUALLY,12742100,KASSUALLY Women Black & Pink Printed Basic Jumpsuit,2199,Black,6297,4.349213911,458
SASSAFRAS,13842966,Sassafras Brown & Red Geometric Printed Georgette Wrap Crop Top,1499,Brown,7358,4.395351998,783
SERA,14021452,Sera Women Multicoloured  Printed Tie-Up Shrug,1494,Multi,750,4.288,793
TOKYO TALKIES,14063026,Tokyo Talkies Women Black Solid Regular Shorts,699,Black,1856,4.530711207,903
ANOUK,14324806,Anouk Stylish Black Solid Ready to Wear Lehenga Choli with Dupatta,4699,Black,84,3.80952381,75
ROADSTER,14955068,Roadster Women Elegant Mauve Solid Leisure Set Co-Ords,2599,Mauve,752,4.21143617,750
SAREE MALL,16595858,Saree Mall Floral Saree,3599,Pink,1005,3.980099502,779
TOKYO TALKIES,16827132,Tokyo Talkies Women Maroon Solid Single-Breasted Formal Blazer,1399,Maroon,125,3.912,903
KHUSHAL K,17048614,Khushal K Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta,5099,Black,4522,4.418398939,467
ANUBHUTEE,17413232,Anubhutee Pink Ethnic Motifs Printed Kurti,1739,Pink,273,4.249084249,79
MONTREZ,18601482,MONTREZ Women White Black Open Front Jacket,1999,White,61,4.37704918,596
STYLI,18841352,Styli Women Golden Embellished Midi Skirts,1949,Gold,0.1875,0.125,848
CHEMISTRY,8317561,Chemistry Blue Denim A-Line Skirt,1699,Blue,900,4.314444444,171
INDDUS,8340727,Inddus Women Dusty Pink Solid Semi-Stitched Lehenga & Unstitched Blouse with Dupatta,6549,Pink,636,3.985849057,389
SASSAFRAS,10856322,SASSAFRAS Women Black Ribbed Longline Open Front Shrug,1799,Black,4458,4.478017048,783
DOLCE CRUDO,10942736,DOLCE CRUDO Women Black Skinny Fit High-Rise Clean Look Stretchable Jeans,2399,Black,2718,4.112214864,230
WEAVERS VILLA,12159424,WEAVERS VILLA Women Pink & Mustard Yellow Floral Embroidered Shawl,1399,Pink,23,4.652173913,971
KASSUALLY,12723704,KASSUALLY Women Black Trousers,1599,Black,2687,4.075548939,458
