color,brand_id
White,242
Mustard,750
Peach,389
Black,783
Black,482
Black,458
Brown,783
Multi,793
Black,903
Black,75
Mauve,750
Pink,779
Maroon,903
Black,467
Pink,79
White,596
Gold,848
Blue,171
Pink,389
Black,783
Black,230
Pink,971
Black,458
Black,903
Fuchsia,95
Teal,389
Grey,52
Multi,106
Orange,404
Mauve,75
Maroon,66
Green,292
Maroon,147
Red,353
Off White,710
Blue,868
Maroon,903
Yellow,583
Blue,750
White,750
Blue,750
Green,903
Navy Blue,711
Navy Blue,79
Rust,194
Magenta,424
0,0
Black,908
Brown,848
Black,27
Black,482
Black,707
Burgundy,95
Black,783
Off White,783
Blue,783
Pink,734
Maroon,618
Red,618
Black,1007
White,66
Peach,951
Maroon,488
Beige,776
Green,125
Blue,156
Beige,903
Purple,903
Coral,750
Maroon,750
White,242
Black,38
Black,903
Cream,354
Navy Blue,482
Pink,711
Green,551
Black,903
Burgundy,509
Maroon,801
Fuchsia,804
Blue,72
Red,282
Navy Blue,544
White,353
Blue,230
Navy Blue,750
White,95
Charcoal,750
Sea Green,783
Lime Green,962
Green,750
Pink,133
Blue,596
Brown,931
Red,832
Pink,632
Pink,850
Black,151
Maroon,292
Purple,555
Grey,863
Blue,750
Blue,171
Blue,903
Black,715
Mustard,783
Navy Blue,903
Blue,171
Teal,968
Navy Blue,509
White,971
Maroon,444
Black,353
Black,79
Green,424
Pink,205
Red,848
Black,27
Black,783
White,845
Pink,135
Blue,750
White,783
Off White,962
Beige,37
Pink,583
Black,7
Beige,363
Yellow,903
Cream,804
Magenta,212
Lavender,389
Green,544
Black,824
Pink,253
Black,983
White,418
Cream,783
Mustard,750
Purple,389
Black,353
Magenta,239
Yellow,75
Navy Blue,554
Multi,488
Orange,242
Sea Green,125
Maroon,841
Orange,282
Black,708
Black,692
Red,444
Black,554
Green,903
Black,847
Navy Blue,943
Blue,482
Navy Blue,731
Black,691
Burgundy,618
Pink,776
Pink,779
Off White,404
Green,467
Pink,996
Green,554
Pink,133
Brown,147
